"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2015 Prohibited Species Catch Crab (includes CDQ)
Through Date:
December 31 2015

SPECIES,SPECIES NAME,GEAR,REPORTING AREA,TARGET,WEEK,SECTOR,GROUNDFISH (MT),NUMBER OF CRAB,NUMBER OF CRAB/MT GROUNDFISH
BKCR,Blue King Crab,HAL,517,Pacific Cod,11/14/15,Catcher Processor,332.059,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,11/21/15,Catcher Processor,956.705,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,11/28/15,Catcher Processor,712.591,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,12/5/15,Catcher Processor,907.507,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,12/12/15,Catcher Processor,874.16,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,12/19/15,Catcher Processor,259.038,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,12/26/15,Catcher Processor,207.425,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,12/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Sablefish,5/16/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,518,Pacific Cod,3/21/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Pacific Cod,3/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Pacific Cod,4/4/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,5/2/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,6/27/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,7/4/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,7/25/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,8/1/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,8/8/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,8/22/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,8/29/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,9/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,9/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,9/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,9/26/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,10/3/15,Shoreside,4.848,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,10/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,518,Sablefish,10/24/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,1/3/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,1/10/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,1/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,1/24/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,1/31/15,Shoreside,C,0,0
BKCR,Blue King Crab,HAL,519,Pacific Cod,2/7/15,Shoreside,C,0,0
